model,variant,ann_return,ann_vol,sharpe,max_drawdown,calmar,information_ratio,hit_rate,regime_risk_on_ann_return,regime_risk_on_ann_vol,regime_risk_on_sharpe,regime_risk_on_sharpe_se,regime_risk_on_sharpe_ci_lo,regime_risk_on_sharpe_ci_hi,regime_risk_on_max_drawdown,regime_risk_on_n_periods,regime_neutral_ann_return,regime_neutral_ann_vol,regime_neutral_sharpe,regime_neutral_sharpe_se,regime_neutral_sharpe_ci_lo,regime_neutral_sharpe_ci_hi,regime_neutral_max_drawdown,regime_neutral_n_periods,regime_crisis_ann_return,regime_crisis_ann_vol,regime_crisis_sharpe,regime_crisis_sharpe_se,regime_crisis_sharpe_ci_lo,regime_crisis_sharpe_ci_hi,regime_crisis_max_drawdown,regime_crisis_n_periods,regime_risk_off_ann_return,regime_risk_off_ann_vol,regime_risk_off_sharpe,regime_risk_off_sharpe_se,regime_risk_off_sharpe_ci_lo,regime_risk_off_sharpe_ci_hi,regime_risk_off_max_drawdown,regime_risk_off_n_periods
linear,base,0.25765235735031156,0.13124088807070697,1.963201873576926,-0.18831352609456747,1.3682095104571694,-0.08752400256284622,0.4885245901639344,0.6045938006663267,0.10379616500937477,5.824818292773345,1.0606601717798212,3.7459243560848954,7.903712229461794,-0.03203617782759691,224,0.3977166578816018,0.09180181771388528,4.3323396833072305,1.1141720290623112,2.1485625063451006,6.51611686026936,-0.027016950298446845,203,-0.24971475354017503,0.23242914215318905,-1.0743693808222783,1.5566235649883124,-4.12535156819937,1.976612806554814,-0.23012778032742445,104,0.07311736121930656,0.0975251514614648,0.7497282508522686,1.833030277982336,-2.84301109399311,4.342467595697647,-0.048778674606485245,75
linear,regime,0.25677550428443263,0.12825664476392817,2.002044453580233,-0.16273649741151386,1.5778605805624606,-0.09488323164167939,0.5016393442622951,0.5928816200589968,0.09946341545647987,5.960800937088387,1.0606601717798212,3.881907000399938,8.039694873776837,-0.0337847541040221,224,0.35534755549423536,0.09170584001855092,3.8748628813863224,1.1141720290623112,1.6910857044241925,6.058640058348452,-0.034949996682363704,203,-0.22786940570186298,0.22766540253983944,-1.0008960657163877,1.5566235649883124,-4.05187825309348,2.050086121660705,-0.20612260783802086,104,0.0826927036257541,0.0983220993558996,0.8410388322408445,1.833030277982336,-2.751700512604534,4.433778177086223,-0.04447973108329768,75
logistic,base,0.2466292477126355,0.12561331103360396,1.9634005797893304,-0.18331511373486548,1.3453841458448608,-0.19547463325452585,0.49836065573770494,0.5844344559215555,0.0942115996071674,6.203423552497384,1.0606601717798212,4.124529615808934,8.282317489185832,-0.03243520690343993,224,0.35865200910417605,0.08898335834913475,4.030551507136542,1.1141720290623112,1.8467743301744117,6.214328684098671,-0.025229361304151182,203,-0.260390187965173,0.22693711507043068,-1.147411201928605,1.5566235649883124,-4.198393389305697,1.9035709854484875,-0.22989070783309873,104,0.08640765180121912,0.09463001849554584,0.9131103763367252,1.833030277982336,-2.679628968508653,4.505849721182104,-0.04003864971514219,75
logistic,regime,0.2570142991615916,0.12501212148928226,2.0559150272769857,-0.16113076679829272,1.5950665677854565,-0.08902127570540369,0.5081967213114754,0.5482749966793541,0.0934369064871153,5.867863323952829,1.0606601717798212,3.7889693872643795,7.946757260641278,-0.03194017099541391,224,0.36017944009307024,0.08702217300112852,4.138938705752606,1.1141720290623112,1.9551615287904762,6.322715882714736,-0.02542981304347619,203,-0.19842702613278074,0.2290954335976724,-0.8661326112734739,1.5566235649883124,-3.9171147986505663,2.1848495761036184,-0.1952298242433141,104,0.10355272902207857,0.09094347286140968,1.138649380367125,1.833030277982336,-2.4540899644782534,4.731388725212503,-0.0383675630795087,75
lstm,base,0.13551993071043378,0.1572614921590951,0.8617489815837035,-0.24723173040344373,0.5481494243853179,-1.0206650003968678,0.5086206896551724,0.2727399779173554,0.13211127714447762,2.0644715864724055,1.0606601717798212,-0.014422350216043878,4.143365523160854,-0.09577029041500985,224,0.31693056887668525,0.14705678970314867,2.1551576742321568,1.1141720290623112,-0.028619502729973156,4.338934851194287,-0.08597894668722911,203,-0.27820450599195645,0.22687194746005276,-1.226262255455546,1.5566235649883124,-4.277244442832639,1.8247199319215464,-0.20075205089077733,104,0.02459853147432489,0.13529277813856752,0.1818170327549262,1.833030277982336,-3.4109223120904524,3.7745563776003044,-0.06642683883767371,75
lstm,regime,0.1582633519319856,0.15862197060611974,0.9977391613988668,-0.1717298115957648,0.9215834482164463,-0.8827559925014044,0.49137931034482757,0.4071971712249034,0.136101413264257,2.991865855457958,1.0606601717798212,0.9129719187695087,5.070759792146408,-0.07178141656121614,224,0.29595924679247965,0.14829478079569522,1.995749582045108,1.1141720290623112,-0.1880275949170218,4.1795267590072385,-0.10274805245180102,203,-0.29310450560334,0.2237373163394589,-1.310038532681047,1.5566235649883124,-4.361020720058139,1.7409436546960453,-0.18147544673005478,104,0.029146166119007555,0.14021281924279472,0.20787090849758605,1.833030277982336,-3.3848684363477926,3.800610253342964,-0.0578709278252649,75
pca,base,0.15742564269127857,0.1212620001656707,1.2982273298824063,-0.18793384010637793,0.8376652262422216,-1.08530942371242,0.4885245901639344,0.3776953003015493,0.08991707259676301,4.200484840018538,1.0606601717798212,2.1215909033300884,6.279378776706987,-0.03714315606448877,224,0.2959233285938565,0.08706765499052618,3.3987745348838887,1.1141720290623112,1.2149973579217588,5.582551711846019,-0.05903095372285361,203,-0.29035561066082927,0.2206470172584423,-1.3159281021267457,1.5566235649883124,-4.3669102895038385,1.7350540852503467,-0.2182903816501543,104,0.004865272836117374,0.08922284665210235,0.05452945090496878,1.833030277982336,-3.5382098939404094,3.6472687957503473,-0.0482060691285887,75
pca,regime,0.18950051156229275,0.1314701654505512,1.4413955509439746,-0.1889039166181387,1.0031581925607187,-0.8278706873003101,0.49836065573770494,0.39329451239144997,0.09887678127684855,3.977622524849903,1.0606601717798212,1.8987285881614535,6.056516461538353,-0.03053562103515406,224,0.3780115762853813,0.099361724603603,3.804398301191262,1.1141720290623112,1.6206211242291322,5.9881754781533925,-0.05283440158411101,203,-0.227943687595619,0.23156046764360222,-0.9843808397660094,1.5566235649883124,-4.035363027143102,2.066601347611083,-0.20072790955706932,104,-0.040384994206141056,0.10897749515526943,-0.3705810465601283,1.833030277982336,-3.9633203914055066,3.22215829828525,-0.0671248737764727,75
spy_bh,baseline,0.26597017603685247,0.15184638024341987,1.7515740290317394,-0.2074802218580181,1.2819061675134507,,,0.9376925581643281,0.12181069821109294,7.69794912873207,1.0606601717798212,5.6190551920436205,9.776843065420518,-0.04947645228320713,224,0.5071280216936305,0.11919550956696387,4.254589988633143,1.1141720290623112,2.0708128116710127,6.438367165595272,-0.0678931456743036,203,-0.47712782236560536,0.2422400891424884,-1.9696484758348702,1.5566235649883124,-5.020630663211962,1.0813337115422221,-0.2885517950157652,104,-0.12499213003996379,0.12825636168041274,-0.9745491638958018,1.833030277982336,-4.56728850874118,2.6181901809495765,-0.0563283497863673,75
equal_weight,baseline,0.19371328099436802,0.10186062246950538,1.9017484509518006,-0.135123412757013,1.4336026380766065,-0.7945366130008907,,0.4418150941388299,0.07871584448512338,5.612784783403158,1.0606601717798212,3.5338908467147085,7.691678720091607,-0.03127626109430574,224,0.2958149962812444,0.08298371973367519,3.5647353147174154,1.1141720290623112,1.3809581377552855,5.748512491679545,-0.043689433722041565,203,-0.21513600589682802,0.16608783982775252,-1.2953146125564803,1.5566235649883124,-4.346296799933572,1.755667574820612,-0.16396986936854518,104,0.03487083221857601,0.08934387744980349,0.3902990693253453,1.833030277982336,-3.202440275520033,3.9830384141707236,-0.045217814957965424,75
