ml_model,ml_variant,baseline,mean_return_diff_annual,sharpe_diff,dm_stat,pvalue_raw,pvalue_bonferroni,pvalue_bh,significant_at_05_after_bonferroni
linear,base,equal_weight,0.05217792161601838,0.00841885847686985,1.6872735123324738,0.0920387994296445,1.0,0.4310574012851961,False
linear,base,momentum_12_1,0.025735980114026648,0.04489236696206489,0.6421626102867595,0.5209979137777372,1.0,0.8077906335224309,False
linear,base,sixty_forty,0.07342708057353989,0.33580285133896526,1.5026800554377362,0.13341558303094678,1.0,0.4310574012851961,False
linear,base,spy_bh,-0.00659199123238462,0.1936228407738041,-0.13937257656420934,0.8891996560144197,1.0,0.9110172726888134,False
linear,regime,equal_weight,0.05148046426215811,0.04362412615892852,1.7730884133056535,0.07669034782057388,1.0,0.4310574012851961,False
linear,regime,momentum_12_1,0.025038522760166413,0.08009763464412356,0.6409251690992679,0.521801089370586,1.0,0.8077906335224309,False
linear,regime,sixty_forty,0.07272962321967966,0.37100811902102393,1.518790636577503,0.12930979645026397,1.0,0.4310574012851961,False
linear,regime,spy_bh,-0.007289448586244855,0.22882810845586277,-0.15109135870636228,0.8799513335883897,1.0,0.9110172726888134,False
logistic,base,equal_weight,0.04337445414081936,0.0165913832577127,1.4976983328406475,0.1347054379016238,1.0,0.4310574012851961,False
logistic,base,momentum_12_1,0.016932512638827647,0.05306489174290774,0.4266586732400724,0.6697716576758874,1.0,0.8930288769011833,False
logistic,base,sixty_forty,0.06462361309834089,0.3439753761198081,1.3140864118195261,0.18928865485894428,1.0,0.46594130426817054,False
logistic,base,spy_bh,-0.015395458707583617,0.20179536555464694,-0.31127236520136126,0.7556950938925611,1.0,0.9110172726888134,False
logistic,regime,equal_weight,0.05167045220589944,0.09139250700793933,1.8089872800647755,0.070922831060828,1.0,0.4310574012851961,False
logistic,regime,momentum_12_1,0.025228510703907706,0.12786601549313437,0.6281767481575734,0.5301126032490953,1.0,0.8077906335224309,False
logistic,regime,sixty_forty,0.07291961116342097,0.41877649987003474,1.5008951875175887,0.13387661067744697,1.0,0.4310574012851961,False
logistic,regime,spy_bh,-0.007099460642503554,0.27659648930487357,-0.14175682328040337,0.8873167696758161,1.0,0.9110172726888134,False
lstm,base,equal_weight,-0.049978218188863714,-0.9301960280904262,-0.8611398003524408,0.3894840578219678,1.0,0.7331464617825276,False
lstm,base,momentum_12_1,-0.07642015969085546,-0.8937225196052312,-1.2069325850952783,0.22790470217392736,1.0,0.5209250335404054,False
lstm,base,sixty_forty,-0.028729059231342186,-0.6028120352283308,-0.4626664837370101,0.6437609539910407,1.0,0.8930288769011833,False
lstm,base,spy_bh,-0.1087481310372667,-0.744992045793492,-1.6252994235732912,0.1045918487753934,1.0,0.4310574012851961,False
lstm,regime,equal_weight,-0.030147080038013852,-0.8121060213936854,-0.5318498826766916,0.595014819941717,1.0,0.8654761017334066,False
lstm,regime,momentum_12_1,-0.05658902154000558,-0.7756325129084903,-0.9388691960481793,0.3481526466251229,1.0,0.6963052932502458,False
lstm,regime,sixty_forty,-0.008897921080492326,-0.48472202853158997,-0.1455855920241003,0.8842944537677816,1.0,0.9110172726888134,False
lstm,regime,spy_bh,-0.08891699288641686,-0.6269020390967511,-1.4056941358923114,0.16030099469880765,1.0,0.46594130426817054,False
pca,base,equal_weight,-0.030870587624045213,-0.5327049345260833,-1.1386866310863555,0.25526059191228384,1.0,0.5445559294128722,False
pca,base,momentum_12_1,-0.05731252912603692,-0.4962314260408882,-1.5735008249626499,0.11609786178937281,1.0,0.4310574012851961,False
pca,base,sixty_forty,-0.00962142866652368,-0.20532094166398784,-0.21854857160564323,0.8270714980863614,1.0,0.9110172726888134,False
pca,base,spy_bh,-0.0896405004724482,-0.347500952229149,-1.7282387267835917,0.08442852235557884,1.0,0.4310574012851961,False
pca,regime,equal_weight,-0.0035353721375160087,-0.41839879165353167,-0.11179977745468403,0.9110172726888134,1.0,0.9110172726888134,False
pca,regime,momentum_12_1,-0.02997731363950773,-0.3819252831683366,-0.7967016681598224,0.42592021741429853,1.0,0.7571914976254196,False
pca,regime,sixty_forty,0.01771378682000553,-0.09101479879143626,0.36807433194590317,0.7129397029285267,1.0,0.9110172726888134,False
pca,regime,spy_bh,-0.062305284985918995,-0.23319480935659742,-1.3182951804355292,0.18787719111601295,1.0,0.46594130426817054,False
